Nghề/Công việc,Ngành/Lĩnh vực,Mô tả công việc,Mức lương,Khu vực phổ biến,Nhóm khuyết tật
Nhân viên viết nội dung (Content Writer),Truyền thông - Marketing,"Tuyển gấp: Viết bài blog, mô tả sản phẩm, kịch bản video ngắn theo yêu cầu, làm việc từ xa, deadline linh hoạt. Môi trường làm việc thân thiện, hòa nhập.",6-10 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khiếm thính
Nhân viên biên phiên dịch ngôn ngữ ký hiệu,Truyền thông - Marketing,"Cơ hội việc làm: Hỗ trợ biên dịch nội dung sang ngôn ngữ ký hiệu cho video truyền thông, làm việc bán thời gian hoặc remote. Xét duyệt hồ sơ và phỏng vấn trong tuần.",6-10 triệu/tháng,"Quận 3, TP.HCM",Khiếm thính
Nhân viên biên phiên dịch ngôn ngữ ký hiệu,Truyền thông - Marketing,"Hỗ trợ biên dịch nội dung sang ngôn ngữ ký hiệu cho video truyền thông, làm việc bán thời gian hoặc remote. Môi trường làm việc thân thiện, hòa nhập.",6-10 triệu/tháng,"Quận 3, TP.HCM",Khiếm thính
Nhân viên nhập liệu,Hành chính - Văn phòng,"Cần tuyển: Nhập liệu, đối chiếu và cập nhật dữ liệu vào hệ thống Excel/phần mềm nội bộ. Công việc bàn giấy, không yêu cầu giao tiếp qua điện thoại. Môi trường làm việc thân thiện, hòa nhập.",6-8 triệu/tháng,TP. Cần Thơ,Khuyết tật ngôn ngữ
Nhân viên trực chat/CSKH online,Chăm sóc khách hàng,"Cơ hội việc làm: Trả lời tin nhắn khách hàng qua Fanpage/Zalo/website, tư vấn sản phẩm, xử lý khiếu nại qua kênh chat (không gọi điện thoại).",6-9 triệu/tháng,"Quận Đống Đa, Hà Nội",Khuyết tật vận động
Kỹ thuật viên xoa bóp bấm huyệt,Y tế - Chăm sóc sức khỏe,"Cơ hội việc làm: Thực hiện các liệu trình xoa bóp, bấm huyệt cho khách hàng tại cơ sở massage y học cổ truyền, đã qua đào tạo nghề. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",7-12 triệu/tháng (có hoa hồng),"TP. Vinh, Nghệ An",Khiếm thị
Lập trình viên Backend,Công nghệ thông tin,"Tuyển gấp: Phát triển và bảo trì API, làm việc với database, có thể làm remote toàn thời gian hoặc bán thời gian.",12-25 triệu/tháng,TP. Đà Nẵng,Khiếm thính
Thợ may công nghiệp,May mặc - Dệt may,"May các công đoạn theo dây chuyền tại xưởng, đã qua đào tạo nghề may cơ bản, làm việc theo ca cố định. Môi trường làm việc thân thiện, hòa nhập.",6-9 triệu/tháng,"Quận Tân Bình, TP.HCM",Khiếm thính
Thợ may công nghiệp,May mặc - Dệt may,"Cần tuyển: May các công đoạn theo dây chuyền tại xưởng, đã qua đào tạo nghề may cơ bản, làm việc theo ca cố định. Môi trường làm việc thân thiện, hòa nhập.",6-9 triệu/tháng,"TP. Biên Hòa, Đồng Nai",Khuyết tật trí tuệ nhẹ
Nhân viên gia công thủ công mỹ nghệ,Thủ công mỹ nghệ,"Tuyển gấp: Gia công sản phẩm handmade (vòng tay, đồ trang trí, hộp quà) theo mẫu có sẵn tại xưởng hoặc nhận về nhà làm. Môi trường làm việc thân thiện, hòa nhập.",4-7 triệu/tháng,"Quận Hai Bà Trưng, Hà Nội",Khuyết tật trí tuệ nhẹ
Nhân viên gia công thủ công mỹ nghệ,Thủ công mỹ nghệ,"Tuyển gấp: Gia công sản phẩm handmade (vòng tay, đồ trang trí, hộp quà) theo mẫu có sẵn tại xưởng hoặc nhận về nhà làm. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",4-7 triệu/tháng,"TP. Biên Hòa, Đồng Nai",Đa khuyết tật nhẹ
Nhân viên nhập liệu,Hành chính - Văn phòng,"Tuyển gấp: Nhập liệu, đối chiếu và cập nhật dữ liệu vào hệ thống Excel/phần mềm nội bộ. Công việc bàn giấy, không yêu cầu giao tiếp qua điện thoại. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",6-8 triệu/tháng,Làm việc từ xa (Remote toàn quốc),Khuyết tật ngôn ngữ
Nhân viên tổng đài hỗ trợ bằng giọng nói (voice IVR content),Công nghệ thông tin,"Thông báo tuyển dụng: Nghe và phân loại nội dung ghi âm, hỗ trợ xây dựng kịch bản thoại cho hệ thống tổng đài tự động, làm việc bằng tai nghe. Xét duyệt hồ sơ và phỏng vấn trong tuần.",7-10 triệu/tháng,"Quận 3, TP.HCM",Khiếm thị
Lập trình viên Backend,Công nghệ thông tin,"Cơ hội việc làm: Phát triển và bảo trì API, làm việc với database, có thể làm remote toàn thời gian hoặc bán thời gian. Môi trường làm việc thân thiện, hòa nhập.",12-25 triệu/tháng,"TP. Vinh, Nghệ An",Khuyết tật ngôn ngữ
Kỹ thuật viên xoa bóp bấm huyệt,Y tế - Chăm sóc sức khỏe,"Thông báo tuyển dụng: Thực hiện các liệu trình xoa bóp, bấm huyệt cho khách hàng tại cơ sở massage y học cổ truyền, đã qua đào tạo nghề.",7-12 triệu/tháng (có hoa hồng),"Quận Đống Đa, Hà Nội",Khiếm thị
Lập trình viên Backend,Công nghệ thông tin,"Thông báo tuyển dụng: Phát triển và bảo trì API, làm việc với database, có thể làm remote toàn thời gian hoặc bán thời gian. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",12-25 triệu/tháng,"Quận Bình Thạnh, TP.HCM",Khuyết tật ngôn ngữ
Nhân viên viết nội dung (Content Writer),Truyền thông - Marketing,"Thông báo tuyển dụng: Viết bài blog, mô tả sản phẩm, kịch bản video ngắn theo yêu cầu, làm việc từ xa, deadline linh hoạt. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",6-10 triệu/tháng,TP. Cần Thơ,Khuyết tật ngôn ngữ
Nhân viên trực chat/CSKH online,Chăm sóc khách hàng,"Cơ hội việc làm: Trả lời tin nhắn khách hàng qua Fanpage/Zalo/website, tư vấn sản phẩm, xử lý khiếu nại qua kênh chat (không gọi điện thoại). Môi trường làm việc thân thiện, hòa nhập.",6-9 triệu/tháng,"TP. Thủ Đức, TP.HCM",Khuyết tật ngôn ngữ
Nhân viên tổng đài hỗ trợ bằng giọng nói (voice IVR content),Công nghệ thông tin,"Cơ hội việc làm: Nghe và phân loại nội dung ghi âm, hỗ trợ xây dựng kịch bản thoại cho hệ thống tổng đài tự động, làm việc bằng tai nghe. Xét duyệt hồ sơ và phỏng vấn trong tuần.",7-10 triệu/tháng,"Quận Cầu Giấy, Hà Nội",Khuyết tật vận động
Nhân viên viết nội dung (Content Writer),Truyền thông - Marketing,"Thông báo tuyển dụng: Viết bài blog, mô tả sản phẩm, kịch bản video ngắn theo yêu cầu, làm việc từ xa, deadline linh hoạt. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",6-10 triệu/tháng,"Quận 1, TP.HCM",Khiếm thính
Kỹ thuật viên xoa bóp bấm huyệt,Y tế - Chăm sóc sức khỏe,"Cần tuyển: Thực hiện các liệu trình xoa bóp, bấm huyệt cho khách hàng tại cơ sở massage y học cổ truyền, đã qua đào tạo nghề. Môi trường làm việc thân thiện, hòa nhập.",7-12 triệu/tháng (có hoa hồng),Làm việc từ xa (Remote toàn quốc),Khiếm thị
Giáo viên dạy tin học cơ bản,Giáo dục - Đào tạo,Giảng dạy kỹ năng tin học văn phòng cho học viên tại trung tâm dạy nghề cho người khuyết tật. Ưu tiên ứng viên có tinh thần trách nhiệm cao.,7-11 triệu/tháng,"TP. Thủ Dầu Một, Bình Dương",Khuyết tật vận động
Nhân viên tổng đài hỗ trợ bằng giọng nói (voice IVR content),Công nghệ thông tin,"Nghe và phân loại nội dung ghi âm, hỗ trợ xây dựng kịch bản thoại cho hệ thống tổng đài tự động, làm việc bằng tai nghe. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",7-10 triệu/tháng,"Quận Tân Bình, TP.HCM",Khuyết tật vận động
Giáo viên dạy tin học cơ bản,Giáo dục - Đào tạo,Thông báo tuyển dụng: Giảng dạy kỹ năng tin học văn phòng cho học viên tại trung tâm dạy nghề cho người khuyết tật.,7-11 triệu/tháng,TP. Cần Thơ,Khiếm thị
Nhân viên tổng đài hỗ trợ bằng giọng nói (voice IVR content),Công nghệ thông tin,"Nghe và phân loại nội dung ghi âm, hỗ trợ xây dựng kịch bản thoại cho hệ thống tổng đài tự động, làm việc bằng tai nghe. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",7-10 triệu/tháng,"Quận Hai Bà Trưng, Hà Nội",Khiếm thị
Nhân viên viết nội dung (Content Writer),Truyền thông - Marketing,"Cơ hội việc làm: Viết bài blog, mô tả sản phẩm, kịch bản video ngắn theo yêu cầu, làm việc từ xa, deadline linh hoạt. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",6-10 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khiếm thính
Nhân viên trực page bán hàng online,Thương mại điện tử,"Quản lý fanpage/shop online, lên đơn, nhắn tin tư vấn khách hàng qua Messenger/Zalo (không gọi điện thoại). Môi trường làm việc thân thiện, hòa nhập.",6-9 triệu/tháng,TP. Huế,Khuyết tật vận động
Thợ may công nghiệp,May mặc - Dệt may,"Tuyển gấp: May các công đoạn theo dây chuyền tại xưởng, đã qua đào tạo nghề may cơ bản, làm việc theo ca cố định.",6-9 triệu/tháng,"Quận Hai Bà Trưng, Hà Nội",Khiếm thính
Nhân viên trực page bán hàng online,Thương mại điện tử,"Quản lý fanpage/shop online, lên đơn, nhắn tin tư vấn khách hàng qua Messenger/Zalo (không gọi điện thoại).",6-9 triệu/tháng,Làm việc từ xa (Remote toàn quốc),Khiếm thính
Nhân viên viết nội dung (Content Writer),Truyền thông - Marketing,"Thông báo tuyển dụng: Viết bài blog, mô tả sản phẩm, kịch bản video ngắn theo yêu cầu, làm việc từ xa, deadline linh hoạt. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",6-10 triệu/tháng,"TP. Biên Hòa, Đồng Nai",Khiếm thính
Nhân viên tổng đài chăm sóc khách hàng,Chăm sóc khách hàng,"Nghe và tư vấn khách hàng qua điện thoại, ghi nhận yêu cầu, giọng nói rõ ràng, chủ động. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",7-10 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khuyết tật vận động
Nhân viên đóng gói sản phẩm,Sản xuất - Kho vận,"Thông báo tuyển dụng: Đóng gói, dán nhãn, kiểm đếm sản phẩm tại kho, công việc lặp lại theo quy trình đơn giản. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",5-7 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khiếm thính
Nhân viên thiết kế đồ họa,Thiết kế - Sáng tạo,"Thiết kế banner, ấn phẩm truyền thông bằng Photoshop/Illustrator/Canva theo brief từ khách hàng, làm việc online. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",8-15 triệu/tháng,"Quận Đống Đa, Hà Nội",Khuyết tật vận động
Giáo viên dạy tin học cơ bản,Giáo dục - Đào tạo,Thông báo tuyển dụng: Giảng dạy kỹ năng tin học văn phòng cho học viên tại trung tâm dạy nghề cho người khuyết tật.,7-11 triệu/tháng,"TP. Thủ Đức, TP.HCM",Khuyết tật vận động
Nhân viên tổng đài chăm sóc khách hàng,Chăm sóc khách hàng,"Cần tuyển: Nghe và tư vấn khách hàng qua điện thoại, ghi nhận yêu cầu, giọng nói rõ ràng, chủ động. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",7-10 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khuyết tật trí tuệ nhẹ
Nhân viên đóng gói sản phẩm,Sản xuất - Kho vận,"Đóng gói, dán nhãn, kiểm đếm sản phẩm tại kho, công việc lặp lại theo quy trình đơn giản. Môi trường làm việc thân thiện, hòa nhập.",5-7 triệu/tháng,"TP. Biên Hòa, Đồng Nai",Khiếm thính
Nhân viên biên phiên dịch ngôn ngữ ký hiệu,Truyền thông - Marketing,"Tuyển gấp: Hỗ trợ biên dịch nội dung sang ngôn ngữ ký hiệu cho video truyền thông, làm việc bán thời gian hoặc remote.",6-10 triệu/tháng,TP. Huế,Khiếm thính
Nhân viên nhập liệu,Hành chính - Văn phòng,"Cơ hội việc làm: Nhập liệu, đối chiếu và cập nhật dữ liệu vào hệ thống Excel/phần mềm nội bộ. Công việc bàn giấy, không yêu cầu giao tiếp qua điện thoại. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",6-8 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khiếm thính
Kỹ thuật viên xoa bóp bấm huyệt,Y tế - Chăm sóc sức khỏe,"Thực hiện các liệu trình xoa bóp, bấm huyệt cho khách hàng tại cơ sở massage y học cổ truyền, đã qua đào tạo nghề. Môi trường làm việc thân thiện, hòa nhập.",7-12 triệu/tháng (có hoa hồng),"Quận 3, TP.HCM",Khiếm thị
Nhân viên thiết kế đồ họa,Thiết kế - Sáng tạo,"Cần tuyển: Thiết kế banner, ấn phẩm truyền thông bằng Photoshop/Illustrator/Canva theo brief từ khách hàng, làm việc online. Xét duyệt hồ sơ và phỏng vấn trong tuần.",8-15 triệu/tháng,TP. Cần Thơ,Khiếm thính
Kế toán viên,Kế toán - Tài chính,"Cơ hội việc làm: Hạch toán chứng từ, lập báo cáo thuế cơ bản, sử dụng phần mềm kế toán MISA, làm việc tại văn phòng hoặc remote. Xét duyệt hồ sơ và phỏng vấn trong tuần.",8-12 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khuyết tật ngôn ngữ
Nhân viên tổng đài hỗ trợ bằng giọng nói (voice IVR content),Công nghệ thông tin,"Nghe và phân loại nội dung ghi âm, hỗ trợ xây dựng kịch bản thoại cho hệ thống tổng đài tự động, làm việc bằng tai nghe. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",7-10 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khuyết tật vận động
Nhân viên đóng gói sản phẩm,Sản xuất - Kho vận,"Cần tuyển: Đóng gói, dán nhãn, kiểm đếm sản phẩm tại kho, công việc lặp lại theo quy trình đơn giản. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",5-7 triệu/tháng,"Quận Cầu Giấy, Hà Nội",Khiếm thính
Thợ may công nghiệp,May mặc - Dệt may,"Thông báo tuyển dụng: May các công đoạn theo dây chuyền tại xưởng, đã qua đào tạo nghề may cơ bản, làm việc theo ca cố định. Có hỗ trợ đào tạo lại từ đầu nếu chưa có kinh nghiệm.",6-9 triệu/tháng,"TP. Nha Trang, Khánh Hòa",Khuyết tật trí tuệ nhẹ
Nhân viên tổng đài chăm sóc khách hàng,Chăm sóc khách hàng,"Tuyển gấp: Nghe và tư vấn khách hàng qua điện thoại, ghi nhận yêu cầu, giọng nói rõ ràng, chủ động. Ưu tiên ứng viên có tinh thần trách nhiệm cao.",7-10 triệu/tháng,"TP. Thủ Đức, TP.HCM",Khuyết tật vận động
Nhân viên đóng gói sản phẩm,Sản xuất - Kho vận,"Thông báo tuyển dụng: Đóng gói, dán nhãn, kiểm đếm sản phẩm tại kho, công việc lặp lại theo quy trình đơn giản. Xét duyệt hồ sơ và phỏng vấn trong tuần.",5-7 triệu/tháng,"Quận 1, TP.HCM",Khuyết tật trí tuệ nhẹ
Lập trình viên Backend,Công nghệ thông tin,"Thông báo tuyển dụng: Phát triển và bảo trì API, làm việc với database, có thể làm remote toàn thời gian hoặc bán thời gian. Xét duyệt hồ sơ và phỏng vấn trong tuần.",12-25 triệu/tháng,"Quận Bình Thạnh, TP.HCM",Khiếm thính
Nhân viên biên phiên dịch ngôn ngữ ký hiệu,Truyền thông - Marketing,"Thông báo tuyển dụng: Hỗ trợ biên dịch nội dung sang ngôn ngữ ký hiệu cho video truyền thông, làm việc bán thời gian hoặc remote.",6-10 triệu/tháng,TP. Huế,Khiếm thính
